project_name,project_version,file_downloads_count
dagster,0.11.5,1
dagster,0.13.7,1
dagster,0.14.14,1
dagster,1.0.15,1
dagster,1.0.16,1
dagster,1.0.17,1
dagster,1.1.1,1
dagster,1.1.10,1
dagster,1.1.11,1
dagster,1.1.12,1
dagster,1.1.13,1
dagster,1.1.14,1
dagster,1.1.15,1
dagster,1.1.17,1
dagster,1.1.18,1
dagster,1.1.2,1
dagster,1.1.3,1
dagster,1.1.4,1
dagster,1.1.5,1
dagster,1.1.6,1
dagster,1.1.7,1
dagster,1.1.8,1
dagster,1.1.9,1
dagster,1.2.6,1
dagster-cloud-cli,0.15.8,2
dagster-graphql,0.11.5,1
dagster-graphql,0.13.7,1
dagster-graphql,0.15.8,1
dagster-pandas,0.11.5,1
dagster-pandera,0.17.21,5
dagster-postgres,0.15.8,1
dagster-pyspark,0.15.8,2
dagster-slack,0.11.5,1
dagster-snowflake,0.11.5,1
